name,link,GitHub
Bitcoin,https://coinmarketcap.com/currencies/bitcoin/,https://github.com/bitcoin/
Ethereum,https://coinmarketcap.com/currencies/ethereum/,https://github.com/ethereum
XRP,https://coinmarketcap.com/currencies/ripple/,https://github.com/ripple
Litecoin,https://coinmarketcap.com/currencies/litecoin/,https://github.com/litecoin-project/litecoin
Bitcoin Cash,https://coinmarketcap.com/currencies/bitcoin-cash/,https://github.com/bitcoincashorg/
EOS,https://coinmarketcap.com/currencies/eos/,https://github.com/eosio
Binance Coin,https://coinmarketcap.com/currencies/binance-coin/,No link
Bitcoin SV,https://coinmarketcap.com/currencies/bitcoin-sv/,https://github.com/bitcoin-sv/bitcoin-sv
Tether,https://coinmarketcap.com/currencies/tether/,No link
Stellar,https://coinmarketcap.com/currencies/stellar/,https://github.com/stellar
Cardano,https://coinmarketcap.com/currencies/cardano/,https://github.com/input-output-hk/cardano-sl/
TRON,https://coinmarketcap.com/currencies/tron/,https://github.com/tronprotocol
Monero,https://coinmarketcap.com/currencies/monero/,https://github.com/monero-project/monero
Dash,https://coinmarketcap.com/currencies/dash/,https://github.com/dashpay/dash
IOTA,https://coinmarketcap.com/currencies/iota/,https://github.com/iotaledger
Cosmos,https://coinmarketcap.com/currencies/cosmos/,https://github.com/cosmos
NEO,https://coinmarketcap.com/currencies/neo/,https://github.com/neo-project
Ethereum Classic,https://coinmarketcap.com/currencies/ethereum-classic/,https://github.com/ethereumclassic/
Tezos,https://coinmarketcap.com/currencies/tezos/,https://gitlab.com/tezos/tezos
NEM,https://coinmarketcap.com/currencies/nem/,https://github.com/nemtech
Maker,https://coinmarketcap.com/currencies/maker/,No link
Ontology,https://coinmarketcap.com/currencies/ontology/,https://github.com/ontio
Zcash,https://coinmarketcap.com/currencies/zcash/,https://github.com/zcash/zcash
Chainlink,https://coinmarketcap.com/currencies/chainlink/,https://github.com/smartcontractkit/chainlink
Bitcoin Gold,https://coinmarketcap.com/currencies/bitcoin-gold/,https://github.com/BTCGPU/BTCGPU
