name,ХО,Наименование ХО (ХП),вид РИД,Изобретение
"""Волгоградский государственный медицинский университет"" Министерства здравоохранения Российской Федерации",https://mip.extech.ru/reestr/hozob_info.php?id=608&pred_id=456,Общество с ограниченной ответственностью «Фармдизайн»,Изобретение,«Способ усиления пролонгированного жаропонижающего действия и снижения токсичности салицилатов»
"""Волгоградский государственный медицинский университет"" Министерства здравоохранения Российской Федерации",https://mip.extech.ru/reestr/hozob_info.php?id=2073&pred_id=456,Общество с ограниченной ответственностью «Научно-производственная фирма Медбиофарм-2020»,None,None
"""Волгоградский государственный медицинский университет"" Министерства здравоохранения Российской Федерации",https://mip.extech.ru/reestr/hozob_info.php?id=2095&pred_id=456,Общество с ограниченной ответственностью «Искра-М»,None,None
"""Кировский государственный медицинский университет"" Министерства здравоохранения Российской Федерации",https://mip.extech.ru/reestr/hozob_info.php?id=3338&pred_id=2388,Общество с ограниченной ответственностью малое инновационное предприятие «ЭКОМЕДПРИБОР»,Изобретение,Способ определения цитотоксичности малорастворимых производственных пылей.
"""Кировский государственный медицинский университет"" Министерства здравоохранения Российской Федерации",https://mip.extech.ru/reestr/hozob_info.php?id=4005&pred_id=2388,Общество с ограниченной ответственностью «Академический центр»,Ноу-хау,"""Инновационные технологии в образовательной и научно-исследовательской деятельности"""
"""Красноярский государственный медицинский университет имени профессора В.Ф. Войно-Ясенецкого"" Министерства здравоохранения Российской Федерации",https://mip.extech.ru/reestr/hozob_info.php?id=881&pred_id=233,Общество с ограниченной ответственностью «Нейротехнологии»,Полезная модель,«Устройство для крепления датчика «Вибротестер - MBN» ВТ-02-1 при снятии показателей вибрационной чувствительности с нижних конечностей»
"""Красноярский государственный медицинский университет имени профессора В.Ф. Войно-Ясенецкого"" Министерства здравоохранения Российской Федерации",https://mip.extech.ru/reestr/hozob_info.php?id=882&pred_id=233,Общество с ограниченной ответственностью «Флуорит»,Изобретение,«Способ диагностики возрастной катаракты»
"""Красноярский государственный медицинский университет имени профессора В.Ф. Войно-Ясенецкого"" Министерства здравоохранения Российской Федерации",https://mip.extech.ru/reestr/hozob_info.php?id=953&pred_id=233,Общество с ограниченной ответственностью «АптаМир»,Изобретение,«Способ диагностики системного воспалительного ответа организма при критических состояниях»
"""Красноярский государственный медицинский университет имени профессора В.Ф. Войно-Ясенецкого"" Министерства здравоохранения Российской Федерации",https://mip.extech.ru/reestr/hozob_info.php?id=954&pred_id=233,Общество с ограниченной ответственностью «Молекулярно - клеточные технологии»,Изобретение,«Способ оценки степени эндотелиальной дисфункции»
"""Красноярский государственный медицинский университет имени профессора В.Ф. Войно-Ясенецкого"" Министерства здравоохранения Российской Федерации",https://mip.extech.ru/reestr/hozob_info.php?id=3387&pred_id=233,Общество с ограниченной ответственностью «Моторика-Про»,Изобретение,Способ коррекции мелкой моторики с использованием сенсорных перчаток
"""Красноярский государственный медицинский университет имени профессора В.Ф. Войно-Ясенецкого"" Министерства здравоохранения Российской Федерации",https://mip.extech.ru/reestr/hozob_info.php?id=3910&pred_id=233,Общество с ограниченной ответственностью «БИО-КОМ»,Полезная модель,Озоновый накопитель
